module,start,events,times
ACM10070,48:35.5,"['JOIN', 'FINISH', 'START']","[0, 59, 0]"
MATH00030,56:52.0,"['JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'FINISH', 'START', 'JOIN', 'JOIN']","[0, 0, 0, 0, 0, 0, 0, 0, 1510, 0, 0, 0]"
PHYC10070,58:04.9,"['START', 'JOIN', 'FINISH']","[0, 0, 45]"
RDEV4001R,36:01.7,"['FINISH', 'JOIN', 'START']","[15, 0, 0]"
ACM30030,36:30.1,"['START', 'FINISH', 'JOIN']","[0, 26, 0]"
GER5001R,37:46.6,"['START', 'JOIN', 'FINISH']","[0, 0, 38]"
MATH10290,39:40.9,"['FINISH', 'START', 'JOIN']","[53, 0, 0]"
MATH10290,40:56.6,"['FINISH', 'JOIN', 'START']","[18, 0, 0]"
MATH10290,41:29.9,"['START', 'JOIN', 'FINISH']","[0, 0, 32]"
MST10040,54:51.7,"['START', 'FINISH', 'JOIN']","[0, 2779, 0]"
MATH10200,55:34.5,"['START', 'JOIN', 'FINISH']","[0, 0, 3555]"
MATH10290,05:07.4,"['FINISH', 'START', 'JOIN']","[1515, 0, 0]"
MATH10290,05:48.2,"['START', 'FINISH', 'JOIN']","[0, 1273, 0]"
MATH10340,11:17.5,"['FINISH', 'TRANSFER', 'START', 'JOIN']","[4353, 4330, 0, 0]"
MATH10340,14:43.4,"['FINISH', 'TRANSFER', 'JOIN', 'START']","[4120, 3331, 0, 0]"
FIN41340,15:28.4,"['FINISH', 'START', 'JOIN']","[1414, 0, 0]"
MST30050,16:40.4,"['FINISH', 'JOIN', 'START']","[1349, 0, 0]"
MATH10290,31:25.9,"['START', 'JOIN', 'FINISH']","[0, 0, 366]"
MATH10040,33:04.8,"['FINISH', 'START', 'JOIN']","[1450, 0, 0]"
ACM30030,42:04.5,"['START', 'JOIN', 'FINISH']","[0, 0, 3134]"
GEOG30320,55:04.3,"['START', 'JOIN', 'FINISH']","[0, 0, 1232]"
MST30030,59:54.5,"['JOIN', 'START', 'FINISH']","[0, 0, 1086]"
PHYC20080,15:25.1,"['START', 'JOIN', 'FINISH']","[0, 0, 889]"
PHYC10070,33:23.8,"['START', 'JOIN', 'FINISH']","[0, 0, 1045]"
MST30050,52:07.3,"['JOIN', 'FINISH', 'START', 'TRANSFER']","[0, 7399, 0, 7198]"
ACM10070,54:23.5,"['FINISH', 'START', 'JOIN']","[2839, 0, 0]"
MATH20290,57:55.6,"['JOIN', 'START', 'FINISH']","[0, 0, 1271]"
MATH10040,14:31.7,"['FINISH', 'JOIN', 'START', 'JOIN']","[1643, 0, 0, 0]"
FIN41340,21:01.6,"['START', 'FINISH', 'JOIN']","[0, 383, 0]"
MST30050,42:34.1,"['JOIN', 'FINISH', 'START']","[0, 1027, 0]"
BMOL20060,47:17.1,"['START', 'FINISH', 'JOIN']","[0, 1902, 0]"
MATH20290,48:02.3,"['START', 'JOIN', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 0, 1158]"
STAT40620,12:34.5,"['JOIN', 'FINISH', 'START', 'TRANSFER']","[0, 2605, 0, 2602]"
MATH10040,14:07.8,"['FINISH', 'JOIN', 'JOIN', 'START']","[797, 0, 0, 0]"
FIN41340,30:25.5,"['START', 'FINISH', 'JOIN', 'JOIN']","[0, 2207, 0, 0]"
MATH20290,37:43.7,"['FINISH', 'START', 'JOIN']","[309, 0, 0]"
MATH20290,44:24.4,"['TRANSFER', 'FINISH', 'START', 'JOIN']","[1591, 1817, 0, 0]"
MST30050,55:34.0,"['START', 'JOIN', 'FINISH']","[0, 0, 1460]"
MATH10350,57:16.5,"['JOIN', 'FINISH', 'START']","[0, 18, 0]"
STAT20060,58:21.2,"['FINISH', 'JOIN', 'START']","[1014, 0, 0]"
STAT20070,17:01.2,"['FINISH', 'JOIN', 'START']","[475, 0, 0]"
MATH10040,20:22.2,"['FINISH', 'JOIN', 'START']","[1876, 0, 0]"
MATH20300,26:33.0,"['START', 'JOIN', 'FINISH']","[0, 0, 1114]"
MATH20060,38:27.4,"['FINISH', 'JOIN', 'START']","[218, 0, 0]"
MEMI30010,51:51.1,"['JOIN', 'FINISH', 'START', 'TRANSFER']","[0, 68421, 0, 68418]"
ACM30030,58:46.1,"['FINISH', 'JOIN', 'START', 'JOIN']","[67999, 0, 0, 0]"
MATH10290,59:45.9,"['START', 'JOIN', 'FINISH']","[0, 0, 163]"
PSY20160,02:16.1,"['START', 'FINISH', 'JOIN']","[0, 646, 0]"
MATH10030,10:06.3,"['START', 'JOIN', 'FINISH']","[0, 0, 3005]"
MATH10290,11:49.3,"['FINISH', 'START', 'JOIN']","[196, 0, 0]"
STAT20070,17:06.4,"['JOIN', 'START', 'FINISH']","[0, 0, 708]"
MST30030,26:34.0,"['START', 'JOIN', 'FINISH']","[0, 0, 204]"
FIN41340,32:29.1,"['FINISH', 'START', 'JOIN']","[2395, 0, 0]"
MATH10040,53:11.2,"['JOIN', 'START', 'FINISH']","[0, 0, 280]"
MATH10250,58:49.2,"['JOIN', 'FINISH', 'START']","[0, 1148, 0]"
MST20010,16:35.8,"['JOIN', 'JOIN', 'START', 'FINISH']","[0, 0, 0, 1876]"
FIN41340,17:34.5,"['START', 'JOIN', 'FINISH']","[0, 0, 2016]"
MEEN10030,52:20.5,"['JOIN', 'FINISH', 'START']","[0, 1928, 0]"
FIN30150,13:18.6,"['START', 'JOIN', 'LEAVE', 'FINISH']","[0, 0, 86, 89]"
MATH20060,25:22.8,"['START', 'JOIN']","[0, 0]"
MATH10030,32:38.7,"['FINISH', 'JOIN', 'START']","[3189, 0, 0]"
MATH00010,46:50.7,"['START', 'FINISH', 'JOIN']","[0, 71, 0]"
MATH10250,48:25.3,"['START', 'FINISH', 'JOIN']","[0, 450, 0]"
MATH10040,49:40.1,"['JOIN', 'FINISH', 'START']","[0, 55, 0]"
MATH10040,51:05.7,"['FINISH', 'START', 'JOIN']","[2330, 0, 0]"
MATH10250,56:57.9,"['START', 'JOIN', 'FINISH']","[0, 0, 2049]"
MST20010,32:27.5,"['START', 'FINISH', 'JOIN']","[0, 482, 0]"
MATH00010,41:58.2,"['JOIN', 'FINISH', 'START']","[0, 1433, 0]"
MATH10290,43:11.2,"['FINISH', 'JOIN', 'START']","[114, 0, 0]"
POL40950,46:12.7,"['START', 'FINISH', 'JOIN']","[0, 13, 0]"
MATH10040,52:23.1,"['JOIN', 'FINISH', 'START']","[0, 22, 0]"
MEEN10030,03:43.4,"['START', 'JOIN', 'FINISH']","[0, 0, 743]"
MST20010,16:28.0,"['FINISH', 'START', 'JOIN']","[848, 0, 0]"
MATH30090,56:16.8,"['FINISH', 'START', 'JOIN']","[2554, 0, 0]"
MATH10030,58:59.8,"['FINISH', 'START', 'JOIN']","[711, 0, 0]"
MST10040,01:49.8,"['FINISH', 'START', 'TRANSFER', 'JOIN']","[2226, 0, 473, 0]"
ECON20040,11:33.6,"['FINISH', 'START', 'JOIN']","[2239, 0, 0]"
STAT10010,43:53.6,"['FINISH', 'START', 'JOIN']","[949, 0, 0]"
MATH10250,49:14.0,"['FINISH', 'START', 'JOIN']","[984, 0, 0]"
MATH10250,58:31.3,"['FINISH', 'START', 'JOIN']","[4045, 0, 0]"
PHYC10070,00:33.5,"['START', 'FINISH', 'JOIN']","[0, 2188, 0]"
MEEN10030,06:04.2,"['START', 'JOIN', 'FINISH']","[0, 0, 1004]"
MST20010,18:15.5,"['TRANSFER', 'START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'FINISH', 'TRANSFER']","[829, 0, 0, 0, 0, 0, 2943, 1142]"
MATH10250,25:26.5,"['FINISH', 'JOIN', 'START']","[111, 0, 0]"
STAT20070,35:09.4,"['FINISH', 'JOIN', 'START']","[1567, 0, 0]"
ACM10080,42:00.5,"['START', 'JOIN', 'FINISH']","[0, 0, 1414]"
MATH10250,07:46.4,"['JOIN', 'FINISH', 'START']","[0, 2264, 0]"
STAT20110,10:57.2,"['FINISH', 'TRANSFER', 'START', 'JOIN']","[1170, 1072, 0, 0]"
MATH10290,16:13.2,"['JOIN', 'START', 'FINISH']","[0, 0, 630]"
STAT20070,20:17.0,"['START', 'FINISH', 'JOIN']","[0, 68, 0]"
MATH10340,27:35.2,"['FINISH', 'JOIN', 'START']","[402, 0, 0]"
STAT20070,31:26.2,"['START', 'FINISH', 'JOIN']","[0, 958, 0]"
PHYC10150,34:47.1,"['FINISH', 'START', 'JOIN']","[912, 0, 0]"
MST10010,47:16.6,"['FINISH', 'START', 'JOIN']","[5290, 0, 0]"
PHYC10070,50:36.0,"['FINISH', 'JOIN', 'START']","[1303, 0, 0]"
STAT20070,53:50.3,"['JOIN', 'START', 'FINISH']","[0, 0, 620]"
PHYC10070,10:00.7,"['START', 'TRANSFER', 'JOIN', 'JOIN', 'FINISH']","[0, 938, 0, 0, 3070]"
PHYC10150,16:35.0,"['FINISH', 'START', 'JOIN']","[779, 0, 0]"
STAT20070,26:58.4,"['START', 'JOIN', 'FINISH']","[0, 0, 119]"
STAT20070,42:28.9,"['FINISH', 'START', 'JOIN']","[104, 0, 0]"
FIN41340,45:04.9,"['START', 'FINISH', 'JOIN']","[0, 654, 0]"
PHYC10070,53:00.0,"['JOIN', 'FINISH', 'START']","[0, 7358, 0]"
MATH10340,03:07.7,"['JOIN', 'START', 'FINISH']","[0, 0, 1235]"
STAT20110,15:40.4,"['TRANSFER', 'FINISH', 'START', 'JOIN']","[1990, 2071, 0, 0]"
MST10010,16:22.3,"['FINISH', 'JOIN', 'START']","[969, 0, 0]"
MST20010,24:27.6,"['JOIN', 'START', 'TRANSFER', 'FINISH', 'JOIN']","[0, 0, 503, 1497, 0]"
MATH10290,25:10.6,"['START', 'FINISH', 'JOIN']","[0, 1607, 0]"
ACM10080,50:53.3,"['FINISH', 'JOIN', 'START']","[1816, 0, 0]"
MATH10250,51:24.8,"['JOIN', 'FINISH', 'START']","[0, 719, 0]"
PHYC10070,52:35.0,"['FINISH', 'JOIN', 'START']","[1267, 0, 0]"
STAT20110,04:28.8,"['START', 'JOIN', 'FINISH']","[0, 0, 478]"
ACM10080,13:06.2,"['JOIN', 'FINISH', 'START']","[0, 2508, 0]"
MST10040,21:04.2,"['FINISH', 'JOIN', 'START']","[4871, 0, 0]"
STAT20070,46:50.0,"['FINISH', 'JOIN', 'START']","[1614, 0, 0]"
PHYC10150,56:22.7,"['TRANSFER', 'FINISH', 'JOIN', 'START']","[6894, 6897, 0, 0]"
STAT20070,08:43.9,"['FINISH', 'JOIN', 'START']","[1158, 0, 0]"
ACM20150,27:28.0,"['START', 'JOIN', 'FINISH']","[0, 0, 1062]"
STAT30240,35:05.3,"['FINISH', 'TRANSFER', 'JOIN', 'START']","[4567, 4565, 0, 0]"
MATH10340,36:44.7,"['FINISH', 'JOIN', 'START']","[1130, 0, 0]"
MATH10250,45:51.6,"['START', 'JOIN', 'FINISH']","[0, 0, 196]"
MATH10210,48:38.8,"['START', 'JOIN', 'FINISH', 'TRANSFER']","[0, 0, 3800, 3797]"
MATH00030,38:18.8,"['FINISH', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'START', 'JOIN', 'JOIN', 'JOIN']","[717, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
COMP10010,51:46.2,"['JOIN', 'START', 'FINISH']","[0, 0, 4]"
ACM30030,49:43.9,"['FINISH', 'START', 'JOIN', 'TRANSFER']","[9259, 0, 0, 1193]"
STAT20070,51:52.2,"['FINISH', 'JOIN', 'START']","[178, 0, 0]"
STAT20110,52:31.4,"['FINISH', 'START']","[773, 0]"
ACM10080,03:39.2,"['FINISH', 'START', 'JOIN']","[8432, 0, 0]"
STAT20110,07:14.4,"['FINISH', 'JOIN', 'START']","[49, 0, 0]"
STAT20110,08:49.2,"['FINISH', 'START', 'JOIN']","[2205, 0, 0]"
STAT20070,09:24.5,"['JOIN', 'START', 'FINISH']","[0, 0, 1871]"
MEEN40050,16:19.1,"['START', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 6, 1533, 2327]"
MATH10250,35:50.5,"['FINISH', 'START', 'JOIN']","[6519, 0, 0]"
MATH20290,43:06.2,"['FINISH', 'START', 'JOIN']","[786, 0, 0]"
MATH10030,49:42.8,"['START', 'JOIN', 'FINISH']","[0, 0, 174]"
MATH20030,51:18.5,"['FINISH', 'START', 'JOIN']","[5602, 0, 0]"
MATH20290,57:02.5,"['FINISH', 'JOIN', 'START']","[2872, 0, 0]"
MATH10250,58:45.5,"['START', 'FINISH', 'JOIN', 'TRANSFER']","[0, 21154, 0, 21151]"
MATH10030,59:53.4,"['FINISH', 'START', 'JOIN', 'JOIN']","[1106, 0, 0, 0]"
MATH10340,11:53.4,"['JOIN', 'FINISH', 'START']","[0, 4928, 0]"
PSY30350,13:02.9,"['JOIN', 'FINISH', 'START', 'JOIN']","[52, 2167, 0, 0]"
PHYS30010,19:22.7,"['FINISH', 'START', 'JOIN']","[1109, 0, 0]"
MATH10340,22:27.1,"['START', 'FINISH', 'JOIN']","[0, 1354, 0]"
MEEN10030,39:00.3,"['START', 'FINISH', 'JOIN']","[0, 922, 0]"
MATH10250,48:33.8,"['JOIN', 'START', 'FINISH']","[0, 0, 812]"
MST20010,50:48.8,"['FINISH', 'START', 'JOIN']","[5700, 0, 0]"
ACM10080,51:13.5,"['FINISH', 'JOIN', 'START']","[2534, 0, 0]"
MST20010,51:21.7,"['START', 'JOIN', 'FINISH']","[0, 0, 5693]"
MST20010,51:41.0,"['FINISH', 'JOIN', 'START']","[5694, 0, 0]"
ACM10080,51:58.1,"['FINISH', 'START', 'JOIN']","[2448, 0, 0]"
MST20010,52:47.3,"['JOIN', 'START', 'FINISH']","[0, 0, 5655]"
MATH10290,55:11.1,"['JOIN', 'FINISH', 'START']","[0, 1717, 0]"
MST30050,55:36.4,"['JOIN', 'START', 'FINISH']","[0, 0, 515]"
MATH10210,05:23.3,"['START', 'JOIN', 'FINISH']","[0, 0, 1765]"
PHYC10070,06:06.0,"['START', 'JOIN', 'JOIN', 'JOIN', 'FINISH', 'TRANSFER']","[0, 0, 0, 0, 17108, 17105]"
STAT20110,21:38.3,"['START', 'JOIN', 'FINISH']","[0, 0, 655]"
PHYC10070,29:25.3,"['FINISH', 'START', 'JOIN']","[341, 0, 0]"
MEEN10060,37:21.0,"['FINISH', 'JOIN', 'START']","[2996, 0, 0]"
MST30050,40:45.1,"['START', 'JOIN', 'JOIN', 'JOIN', 'LEAVE', 'JOIN', 'JOIN', 'TRANSFER', 'LEAVE', 'LEAVE', 'LEAVE', 'FINISH']","[0, 0, 0, 0, 11326, 0, 0, 11022, 11328, 11320, 11331, 12911]"
MATH10030,51:50.5,"['FINISH', 'JOIN', 'START']","[124, 0, 0]"
ACM30030,55:39.5,"['START', 'JOIN', 'FINISH']","[0, 0, 196]"
MATH10250,59:43.3,"['JOIN', 'JOIN', 'START', 'FINISH']","[22, 0, 0, 1368]"
MST30030,32:30.9,"['FINISH', 'JOIN', 'START']","[381, 0, 0]"
ACM20050,39:22.3,"['JOIN', 'START', 'FINISH', 'TRANSFER']","[0, 0, 11476, 11460]"
SCI10010,39:59.1,"['START', 'JOIN', 'FINISH']","[0, 0, 26]"
PHYC10150,40:50.7,"['JOIN', 'START', 'FINISH']","[0, 0, 938]"
PHYC30020,55:02.6,"['FINISH', 'JOIN', 'START']","[1665, 0, 0]"
ACM30030,04:16.2,"['FINISH', 'JOIN', 'START']","[62, 0, 0]"
MEEN10030,19:15.2,"['JOIN', 'START', 'TRANSFER', 'FINISH']","[0, 0, 220, 1527]"
MATH10250,20:23.0,"['FINISH', 'START', 'JOIN']","[1757, 0, 0]"
STAT20110,27:45.0,"['START', 'FINISH', 'JOIN']","[0, 84, 0]"
ACM20050,45:55.9,"['START', 'JOIN', 'FINISH']","[0, 0, 1896]"
MST30050,51:24.5,"['JOIN', 'START', 'FINISH', 'TRANSFER']","[0, 0, 7183, 7159]"
MEEN10030,03:16.9,"['START', 'JOIN', 'FINISH']","[0, 0, 145]"
ACM10080,18:45.4,"['JOIN', 'START', 'FINISH']","[0, 0, 1486]"
STAT20110,45:13.2,"['JOIN', 'START', 'FINISH']","[0, 0, 19]"
STAT40080,45:58.6,"['FINISH', 'JOIN', 'START']","[15, 0, 0]"
STAT40080,46:22.4,"['FINISH', 'START', 'JOIN']","[3, 0, 0]"
PHYC10070,29:40.3,"['START', 'FINISH', 'JOIN']","[0, 460, 0]"
MATH10340,42:04.8,"['JOIN', 'START', 'FINISH']","[0, 0, 102]"
STAT40120,48:16.0,"['JOIN', 'START', 'FINISH']","[0, 0, 43]"
MATH10250,49:09.6,"['FINISH', 'JOIN', 'START']","[57, 0, 0]"
MATH10290,05:49.2,"['JOIN', 'FINISH', 'START']","[0, 1503, 0]"
MATH20290,20:42.1,"['JOIN', 'START', 'FINISH']","[0, 0, 1158]"
MIS40530,23:59.1,"['FINISH', 'START', 'JOIN']","[497, 0, 0]"
ACM10080,46:44.2,"['START', 'JOIN', 'FINISH']","[0, 0, 890]"
MST30030,50:58.7,"['FINISH', 'START', 'JOIN']","[6620, 0, 0]"
MST20010,51:04.2,"['JOIN', 'FINISH', 'START', 'JOIN']","[0, 1335, 0, 10]"
MATH10030,51:26.4,"['FINISH', 'START', 'JOIN']","[3509, 0, 0]"
MATH00010,01:05.1,"['JOIN', 'START', 'FINISH']","[0, 0, 5920]"
STAT40080,11:55.8,"['FINISH', 'JOIN', 'START']","[674, 0, 0]"
MST30030,26:32.1,"['JOIN', 'START', 'FINISH']","[0, 0, 557]"
STAT10010,28:22.5,"['FINISH', 'JOIN', 'START']","[520, 0, 0]"
MATH20060,33:05.5,"['FINISH', 'JOIN', 'START']","[5383, 0, 0]"
PHYC10070,33:45.5,"['START', 'JOIN', 'FINISH']","[0, 0, 2600]"
MATH10290,02:25.3,"['START', 'JOIN', 'FINISH']","[0, 0, 1344]"
STAT40080,04:10.5,"['JOIN', 'START', 'FINISH']","[0, 0, 1161]"
MATH20290,17:56.8,"['JOIN', 'START', 'FINISH']","[0, 0, 2645]"
CHEN40180,38:25.7,"['START', 'JOIN', 'FINISH']","[0, 0, 1298]"
PHYC10070,42:31.3,"['START', 'JOIN', 'FINISH']","[0, 0, 263]"
EEEN10010,47:12.4,"['FINISH', 'START', 'JOIN']","[702, 0, 0]"
STAT40080,03:32.5,"['TRANSFER', 'FINISH', 'JOIN', 'START', 'JOIN', 'JOIN']","[4893, 5818, 0, 0, 0, 0]"
MATH10200,14:27.4,"['FINISH', 'JOIN', 'START']","[1891, 0, 0]"
STAT30250,30:07.4,"['FINISH', 'JOIN', 'START']","[111, 0, 0]"
MST10040,51:29.3,"['JOIN', 'START', 'FINISH']","[0, 0, 1941]"
PHYC10150,06:18.9,"['JOIN', 'START', 'LEAVE', 'FINISH']","[0, 0, 2332, 2339]"
MATH10210,17:52.6,"['FINISH', 'JOIN', 'START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN']","[1052, 0, 0, 0, 0, 0, 0, 0, 0]"
STAT30240,24:09.3,"['FINISH', 'JOIN', 'JOIN', 'START']","[8788, 0, 0, 0]"
MST20010,24:37.3,"['START', 'JOIN', 'FINISH', 'JOIN']","[0, 0, 697, 6]"
MIS30040,29:08.5,"['FINISH', 'JOIN', 'JOIN', 'START']","[8497, 0, 0, 0]"
MATH10340,50:12.5,"['START', 'JOIN', 'FINISH']","[0, 0, 2193]"
MATH00030,52:06.5,"['FINISH', 'JOIN', 'START']","[7126, 0, 0]"
MEEN40050,59:39.2,"['FINISH', 'JOIN', 'TRANSFER', 'JOIN', 'START']","[67861, 8, 67857, 0, 0]"
ACM10080,06:31.2,"['FINISH', 'TRANSFER', 'JOIN', 'START']","[67460, 67453, 0, 0]"
PHYC10070,27:35.3,"['START', 'JOIN', 'FINISH']","[0, 0, 1108]"
ACM10080,34:55.3,"['FINISH', 'JOIN', 'START']","[972, 0, 0]"
MATH10340,47:58.7,"['JOIN', 'START', 'FINISH']","[0, 0, 1224]"
STAT40060,03:53.1,"['START', 'FINISH', 'JOIN']","[0, 1593, 0]"
PHYC10070,09:09.0,"['FINISH', 'START', 'JOIN']","[1211, 0, 0]"
MATH10340,30:52.3,"['FINISH', 'START', 'JOIN']","[1176, 0, 0]"
MATH00030,34:48.9,"['FINISH', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'START', 'JOIN']","[2691, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ACM30220,51:49.2,"['FINISH', 'START', 'JOIN']","[2372, 0, 0]"
BSEN30010,55:52.2,"['JOIN', 'START', 'FINISH']","[0, 0, 337]"
MATH10290,02:32.2,"['FINISH', 'JOIN', 'TRANSFER', 'START', 'TRANSFER']","[4687, 0, 4683, 0, 2957]"
PHYC10070,19:44.0,"['TRANSFER', 'START', 'FINISH', 'JOIN']","[1479, 0, 1908, 0]"
MST20010,24:26.9,"['START', 'JOIN', 'FINISH']","[0, 0, 756]"
MATH20060,38:37.2,"['START', 'JOIN', 'FINISH']","[0, 0, 289]"
MATH20300,51:30.4,"['FINISH', 'JOIN', 'START']","[1627, 0, 0]"
STAT20110,54:28.7,"['JOIN', 'JOIN', 'START', 'FINISH']","[0, 0, 0, 5577]"
STAT40430,03:40.1,"['FINISH', 'JOIN', 'START']","[51, 0, 0]"
PHYC10070,16:42.4,"['FINISH', 'TRANSFER', 'START', 'JOIN']","[4216, 4211, 0, 0]"
MATH20060,18:58.2,"['FINISH', 'JOIN', 'START']","[76, 0, 0]"
PHYC10070,19:09.2,"['START', 'JOIN', 'FINISH', 'TRANSFER']","[0, 0, 405, 400]"
MATH20060,22:30.0,"['TRANSFER', 'JOIN', 'START', 'FINISH']","[3277, 0, 0, 3282]"
ACM10080,22:41.9,"['FINISH', 'START', 'JOIN']","[571, 0, 0]"
STAT20110,26:57.7,"['JOIN', 'FINISH', 'TRANSFER', 'START']","[0, 3027, 3021, 0]"
MATH10340,27:41.9,"['FINISH', 'START', 'JOIN']","[1174, 0, 0]"
MST30050,48:14.8,"['START', 'JOIN', 'FINISH']","[0, 0, 577]"
MATH20290,49:29.1,"['JOIN', 'START', 'FINISH', 'TRANSFER']","[0, 0, 9481, 7120]"
STAT20110,54:43.9,"['FINISH', 'JOIN', 'START']","[1310, 0, 0]"
MATH30090,58:39.8,"['FINISH', 'JOIN', 'START']","[306, 0, 0]"
PHYC10070,03:47.8,"['FINISH', 'JOIN', 'START']","[2909, 0, 0]"
MST30050,24:43.9,"['START', 'JOIN', 'FINISH']","[0, 0, 79]"
STAT20110,30:23.9,"['FINISH', 'START', 'JOIN']","[99, 0, 0]"
PHYC10070,54:00.4,"['FINISH', 'JOIN', 'START']","[3018, 0, 0]"
STAT20110,57:49.3,"['JOIN', 'JOIN', 'FINISH', 'START', 'JOIN']","[0, 0, 463, 0, 0]"
PHYC10150,14:41.3,"['START', 'FINISH', 'JOIN']","[0, 458, 0]"
PHYC10070,21:00.8,"['START', 'FINISH', 'JOIN']","[0, 1386, 0]"
MATH10290,23:41.7,"['FINISH', 'JOIN', 'START']","[245, 0, 0]"
STAT20110,51:04.6,"['FINISH', 'START', 'JOIN']","[679, 0, 0]"
POL40950,53:38.8,"['TRANSFER', 'FINISH', 'START', 'JOIN']","[1801, 1825, 0, 0]"
MATH20060,59:45.8,"['JOIN', 'START', 'FINISH']","[0, 0, 113]"
MATH10030,01:41.0,"['FINISH', 'JOIN', 'START']","[569, 0, 0]"
ECON10030,03:03.5,"['START', 'FINISH', 'JOIN']","[0, 1106, 0]"
MATH10250,03:12.2,"['FINISH', 'JOIN', 'START']","[1126, 0, 0]"
STAT30010,24:12.2,"['FINISH', 'START', 'JOIN']","[710, 0, 0]"
FIN41340,39:07.9,"['JOIN', 'FINISH', 'START']","[0, 21, 0]"
FIN41340,39:51.7,"['JOIN', 'FINISH', 'START']","[0, 1532, 0]"
PHYC10070,44:37.8,"['FINISH', 'JOIN', 'START']","[1170, 0, 0]"
PHYC10070,47:46.2,"['FINISH', 'START', 'JOIN']","[2896, 0, 0]"
PHYC10070,57:20.1,"['FINISH', 'START', 'JOIN']","[2182, 0, 0]"
MEEN40050,05:37.1,"['FINISH', 'JOIN', 'START']","[1022, 0, 0]"
STAT20110,21:44.3,"['JOIN', 'FINISH', 'START']","[0, 23, 0]"
FOR20100,22:46.4,"['FINISH', 'JOIN', 'START']","[4340, 0, 0]"
PHYC10150,23:33.7,"['START', 'JOIN', 'FINISH']","[0, 0, 5592]"
PHYC20080,24:39.1,"['JOIN', 'FINISH', 'START']","[0, 1303, 0]"
MATH20300,01/10/2015 15:39,"['START', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 4329]"
STAT20110,39:36.3,"['START', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 4311]"
PHYC10070,47:25.8,"['JOIN', 'FINISH', 'START']","[0, 3450, 0]"
STAT20110,49:31.7,"['FINISH', 'JOIN', 'JOIN', 'START']","[3819, 0, 0, 0]"
EEEN10010,05:18.5,"['FINISH', 'JOIN', 'START']","[674, 0, 0]"
PHYC10070,07:02.3,"['JOIN', 'START', 'FINISH']","[0, 0, 342]"
PHYC10070,12:50.2,"['FINISH', 'START', 'JOIN']","[1949, 0, 0]"
STAT30010,01/10/2015 16:14,"['JOIN', 'START', 'FINISH', 'JOIN']","[0, 0, 1882, 0]"
PHYC10070,17:37.5,"['JOIN', 'START', 'FINISH']","[0, 0, 2033]"
FOR20100,19:16.5,"['START', 'JOIN', 'FINISH']","[0, 0, 977]"
MATH10130,35:33.5,"['JOIN', 'START', 'FINISH']","[0, 0, 21]"
ACM20150,30:09.4,"['START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 0, 0, 0, 80]"
MATH10210,06:42.8,"['FINISH', 'JOIN', 'START']","[3427, 0, 0]"
MATH20290,19:09.8,"['JOIN', 'FINISH', 'START']","[0, 1250, 0]"
STAT30010,32:35.8,"['FINISH', 'START', 'JOIN']","[438, 0, 0]"
PHYC10070,40:26.3,"['START', 'JOIN', 'FINISH']","[0, 0, 4642]"
MATH10250,48:00.6,"['FINISH', 'START', 'JOIN', 'JOIN']","[4192, 0, 0, 0]"
MATH20290,04:26.1,"['FINISH', 'START', 'JOIN']","[1210, 0, 0]"
MATH10250,23:34.7,"['LEAVE', 'START', 'FINISH', 'JOIN']","[8233, 0, 8237, 0]"
PHYC10070,25:22.8,"['START', 'FINISH', 'JOIN']","[0, 1969, 0]"
STAT20110,38:41.4,"['START', 'JOIN', 'FINISH']","[0, 0, 57]"
PHYC10070,42:20.0,"['START', 'JOIN', 'FINISH']","[0, 0, 213]"
PHYC10070,46:39.6,"['START', 'JOIN', 'FINISH']","[0, 0, 662]"
STAT20110,18:32.6,"['FINISH', 'JOIN', 'START']","[36, 0, 0]"
MATH10210,56:02.3,"['JOIN', 'START', 'FINISH']","[0, 0, 2229]"
STAT20110,15:12.2,"['JOIN', 'JOIN', 'FINISH', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'START']","[0, 0, 234, 0, 0, 0, 0, 0, 0, 0]"
STAT20110,19:44.2,"['JOIN', 'JOIN', 'FINISH', 'START']","[0, 0, 30, 0]"
PHYC10070,21:53.9,"['JOIN', 'FINISH', 'JOIN', 'START']","[0, 140, 0, 0]"
PHYC10070,24:38.8,"['START', 'FINISH', 'JOIN']","[0, 19, 0]"
MATH10250,25:17.8,"['JOIN', 'FINISH', 'START']","[0, 26, 0]"
