module,start,events,times
STAT10060,08:11.9,"['START', 'FINISH']","[0, 1878]"
MST20050,25:41.6,"['START', 'TRANSFER', 'FINISH']","[0, 844, 2256]"
ECON20010,46:51.6,"['START', 'FINISH']","[0, 6]"
STAT20100,03:47.8,"['START', 'FINISH']","[0, 4139]"
MST10030,46:46.1,"['START', 'TRANSFER', 'FINISH']","[0, 4418, 4425]"
PHYC10200,50:41.9,"['FINISH', 'START']","[59, 0]"
STAT20100,34:19.2,"['START', 'FINISH']","[0, 212]"
STAT10050,57:35.0,"['START', 'FINISH']","[0, 447]"
MATH10240,06:27.7,"['START', 'START', 'FINISH']","[0, 1514, 3009]"
MATH10350,21:00.9,"['START', 'FINISH']","[0, 2290]"
SBUS10050,30:06.0,"['START', 'FINISH']","[0, 1570]"
ECON20030,57:36.8,"['START', 'FINISH']","[0, 4413]"
PHYC10080,32:55.9,"['START', 'FINISH']","[0, 1728]"
MATH10260,34:55.3,"['START', 'FINISH']","[0, 2099]"
MATH10350,39:44.9,"['START', 'FINISH']","[0, 1561]"
MATH10350,06:41.8,"['START', 'FINISH']","[0, 1584]"
MATH10260,10:56.1,"['START', 'FINISH']","[0, 1072]"
STAT10060,30:37.6,"['START', 'TRANSFER', 'FINISH']","[0, 344, 2018]"
ECON20030,32:08.5,"['START', 'FINISH']","[0, 2548]"
MST10030,34:41.9,"['START', 'FINISH']","[0, 1948]"
MATH10260,07:33.6,"['FINISH', 'START']","[1311, 0]"
MATH10350,08:01.1,"['TRANSFER', 'FINISH', 'START']","[9379, 9382, 0]"
MATH10260,09:42.6,"['TRANSFER', 'FINISH', 'START']","[2257, 8091, 0]"
SBUS10050,15:53.1,"['TRANSFER', 'FINISH', 'START']","[863, 2773, 0]"
MATH10260,37:03.5,"['START', 'FINISH']","[0, 579]"
ECON20030,43:29.9,"['START', 'FINISH']","[0, 2167]"
ECON20030,21:03.9,"['START', 'FINISH']","[0, 870]"
PHYC10200,32:40.2,"['START', 'FINISH']","[0, 2290]"
ECON20030,22:15.4,"['START', 'FINISH']","[0, 132]"
MATH10220,35:42.6,"['START', 'TRANSFER', 'FINISH']","[0, 1794, 4143]"
MATH10350,50:47.4,"['START', 'TRANSFER', 'FINISH']","[0, 7213, 7219]"
MST10030,53:42.4,"['START', 'FINISH']","[0, 681]"
STAT20060,13:08.7,"['START', 'FINISH']","[0, 1924]"
MATH10350,30:47.9,"['START', 'START', 'LEAVE', 'START', 'FINISH', 'START']","[0, 268, 317, 2601, 5563, 2602]"
STAT10060,40:26.0,"['START', 'TRANSFER', 'TRANSFER', 'FINISH']","[0, 1825, 2728, 2741]"
STAT10060,58:52.0,"['FINISH', 'START']","[1609, 0]"
MATH10260,17:32.7,"['START', 'FINISH']","[0, 66]"
MATH10260,47:23.9,"['FINISH', 'START']","[83, 0]"
ADEDEX428,03:52.1,"['START', 'START', 'START', 'FINISH']","[0, 874, 1556, 4094]"
MATH10260,11:32.0,"['START', 'FINISH']","[0, 177]"
MATH10260,16:00.7,"['START', 'FINISH']","[0, 708]"
MATH10350,27:40.2,"['START', 'FINISH']","[0, 543]"
MATH10350,37:10.2,"['START', 'FINISH']","[0, 1085]"
MST10030,06:48.7,"['START', 'JOIN', 'FINISH']","[0, 0, 1240]"
ECON20030,17:41.9,"['START', 'JOIN', 'FINISH']","[0, 0, 1971]"
MATH10260,31:15.7,"['START', 'JOIN', 'FINISH']","[0, 0, 1462]"
MST30010,59:35.8,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 1117, 2903]"
MATH10260,02:40.9,"['START', 'JOIN', 'FINISH']","[0, 0, 4836]"
MATH10350,10:19.5,"['START', 'JOIN', 'FINISH']","[0, 0, 2494]"
ACM10060,32:12.6,"['START', 'JOIN', 'FINISH']","[0, 0, 4097]"
MST10030,56:11.9,"['START', 'JOIN', 'FINISH']","[0, 0, 1464]"
MATH10310,57:39.3,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 3994, 5891]"
ACM20060,29:48.9,"['START', 'JOIN', 'FINISH']","[0, 0, 630]"
ACM10060,31:21.0,"['START', 'JOIN', 'FINISH']","[0, 0, 38]"
POL20050,32:23.4,"['START', 'JOIN', 'FINISH']","[0, 0, 1553]"
MATH10260,58:53.3,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 1456, 1461]"
POL20050,58:54.1,"['START', 'JOIN', 'FINISH']","[0, 0, 186]"
MATH10260,59:36.2,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 1752, 2158]"
BIOL40030,03:07.0,"['START', 'JOIN', 'FINISH']","[0, 0, 710]"
MST10030,26:44.9,"['START', 'JOIN', 'FINISH', 'LEAVE']","[0, 0, 986, 982]"
MATH10290,46:48.2,"['START', 'JOIN', 'FINISH']","[0, 0, 16]"
STAT10060,48:03.7,"['START', 'JOIN', 'FINISH', 'JOIN']","[0, 0, 2403, 22]"
ACM10060,01:07.8,"['START', 'JOIN', 'FINISH']","[0, 0, 1676]"
MEEN20030,31:26.3,"['START', 'JOIN']","[0, 0]"
MATH20320,08:58.2,"['FINISH', 'START', 'JOIN', 'JOIN']","[1902, 0, 0, 0]"
MST10030,15:11.7,"['START', 'JOIN', 'FINISH']","[0, 0, 872]"
MATH20320,30:41.8,"['TRANSFER', 'FINISH', 'START', 'JOIN']","[2704, 2716, 0, 0]"
ACM10060,34:44.9,"['START', 'JOIN', 'FINISH']","[0, 0, 4777]"
MATH10210,10:42.9,"['START', 'JOIN', 'TRANSFER', 'TRANSFER', 'FINISH']","[0, 0, 1534, 8208, 8218]"
MATH20260,17:39.3,"['START', 'JOIN', 'FINISH']","[0, 0, 7778]"
MATH40010,17:57.8,"['START', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 7749]"
ECON10020,26:44.6,"['START', 'JOIN', 'FINISH']","[0, 0, 1012]"
ACM30200,24:59.7,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 5407, 5410]"
MST10030,44:32.4,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 2613, 2625]"
MATH10220,47:02.9,"['START', 'JOIN', 'FINISH']","[0, 0, 2384]"
ACM10060,28:37.0,"['START', 'JOIN', 'FINISH']","[0, 0, 1580]"
MATH20260,56:03.6,"['START', 'JOIN', 'FINISH']","[0, 0, 2803]"
STAT10060,16:17.3,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 2861, 3759]"
MST30010,24:15.3,"['START', 'JOIN', 'FINISH']","[0, 0, 385]"
MATH10350,01:55.7,"['START', 'JOIN', 'FINISH']","[0, 0, 7279]"
STAT10060,12:00.9,"['START', 'JOIN', 'TRANSFER', 'TRANSFER', 'FINISH']","[0, 0, 1885, 6680, 6685]"
CHEN30140,13:00.5,"['START', 'JOIN', 'FINISH']","[0, 0, 6595]"
ANSC30050,45:35.5,"['START', 'JOIN', 'FINISH']","[0, 0, 971]"
STAT40380,02:35.2,"['START', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 363]"
ADEDEX428,10:14.2,"['START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN']","[0, 0, 0, 516, 517, 1682, 1719]"
MATH10220,21:54.4,"['START', 'JOIN', 'FINISH']","[0, 0, 2547]"
ECON10020,41:20.5,"['START', 'JOIN']","[0, 0]"
MATH40010,20:28.1,"['START', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 0, 2009, 4210]"
ACM10060,56:49.9,"['FINISH', 'START', 'JOIN']","[10434, 0, 0]"
MATH10350,10:51.0,"['START', 'JOIN', 'FINISH']","[0, 0, 1572]"
ACM10060,18:46.5,"['TRANSFER', 'START', 'JOIN', 'FINISH']","[7716, 0, 0, 7784]"
MATH10350,29:35.9,"['START', 'JOIN', 'FINISH']","[0, 0, 2388]"
MATH10260,03:43.9,"['START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 0, 0, 0, 0, 1836, 6405]"
MATH10350,25:00.4,"['START', 'JOIN', 'FINISH']","[0, 0, 671]"
STAT20060,02:25.7,"['START', 'JOIN', 'JOIN', 'FINISH']","[0, 0, 0, 88]"
STAT20060,32:58.7,"['START', 'JOIN', 'FINISH']","[0, 0, 736]"
STAT20060,35:59.7,"['FINISH', 'START', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'JOIN', 'LEAVE']","[8920, 0, 0, 0, 0, 0, 0, 1788]"
ACM10080,36:15.8,"['FINISH', 'START', 'JOIN']","[8899, 0, 0]"
MIS2005L,57:02.0,"['FINISH', 'START', 'JOIN', 'JOIN', 'JOIN']","[5928, 0, 0, 0, 0]"
ACM10060,09:00.5,"['JOIN', 'FINISH', 'START']","[0, 3095, 0]"
MST10030,12:44.4,"['START', 'JOIN', 'FINISH']","[0, 0, 2343]"
STAT10060,17:16.7,"['START', 'JOIN', 'FINISH']","[0, 0, 583]"
MST10030,32:33.6,"['START', 'JOIN', 'FINISH']","[0, 0, 3648]"
MATH10310,43:57.7,"['START', 'JOIN', 'FINISH']","[0, 0, 3602]"
STAT40690,51:03.0,"['START', 'JOIN', 'TRANSFER', 'FINISH']","[0, 0, 52, 4016]"
ADEDEX428,13:01.5,"['START', 'JOIN', 'FINISH']","[0, 0, 972]"
MATH10240,03:34.1,"['START', 'JOIN', 'FINISH']","[0, 0, 3703]"
STAT20060,53:30.6,"['START', 'JOIN', 'FINISH']","[0, 0, 3911]"
MEEN30010,57:55.8,"['START', 'JOIN', 'FINISH']","[0, 0, 443]"
