times,year,month,date,academic_year,semester,week,weekday,hour,events,subject,student_level,number_of_tutors,duration_s,duration_m
"[0, 5452]",2015,2,9,2014/2015,2,2,1,15,"['START', 'FINISH']",ACM,1,4,5452,90
"[0, 114]",2015,2,9,2014/2015,2,2,1,15,"['START', 'FINISH']",MATH,1,4,114,1
"[0, 213]",2015,2,9,2014/2015,2,2,1,15,"['START', 'FINISH']",MATH,2,4,213,3
"[0, 615]",2015,2,9,2014/2015,2,2,1,16,"['START', 'FINISH']",MATH,1,4,615,10
"[0, 463]",2015,2,9,2014/2015,2,2,1,16,"['START', 'FINISH']",STAT,1,4,463,7
"[0, 562]",2015,2,10,2014/2015,2,2,2,10,"['START', 'FINISH']",ACM,1,4,562,9
"[0, 1240]",2015,2,10,2014/2015,2,2,2,10,"['START', 'FINISH']",ACM,1,4,1240,20
"[0, 791]",2015,2,10,2014/2015,2,2,2,10,"['START', 'FINISH']",MATH,1,4,791,13
"[0, 1182]",2015,2,10,2014/2015,2,2,2,10,"['START', 'FINISH']",MATH,2,4,1182,19
"[0, 2435]",2015,2,10,2014/2015,2,2,2,10,"['START', 'FINISH']",MST,1,4,2435,40
"[0, 12428, 12433]",2015,2,10,2014/2015,2,2,2,10,"['START', 'TRANSFER', 'FINISH']",MATH,1,4,5,0
"[0, 513]",2015,2,10,2014/2015,2,2,2,11,"['START', 'FINISH']",MATH,2,4,513,8
"[0, 181, 1152]",2015,2,10,2014/2015,2,2,2,12,"['START', 'TRANSFER', 'FINISH']",MST,2,3,971,16
"[0, 1825]",2015,2,10,2014/2015,2,2,2,12,"['START', 'FINISH']",ACM,1,3,1825,30
"[0, 3917]",2015,2,10,2014/2015,2,2,2,12,"['START', 'FINISH']",MATH,1,3,3917,65
"[6392, 6480, 0]",2015,2,10,2014/2015,2,2,2,13,"['TRANSFER', 'FINISH', 'START']",STAT,1,2,88,1
"[7028, 0]",2015,2,10,2014/2015,2,2,2,13,"['FINISH', 'START']",MATH,1,2,7028,117
"[7063, 0]",2015,2,10,2014/2015,2,2,2,13,"['FINISH', 'START']",MATH,1,2,7063,117
"[11664, 0]",2015,2,10,2014/2015,2,2,2,13,"['FINISH', 'START']",MATH,1,2,11664,194
"[5744, 0]",2015,2,10,2014/2015,2,2,2,13,"['FINISH', 'START']",ACM,1,2,5744,95
"[0, 539]",2015,2,10,2014/2015,2,2,2,14,"['START', 'FINISH']",STAT,1,4,539,8
"[0, 629]",2015,2,10,2014/2015,2,2,2,14,"['START', 'FINISH']",MATH,1,4,629,10
"[1669, 0]",2015,2,10,2014/2015,2,2,2,14,"['FINISH', 'START']",STAT,1,4,1669,27
