times,year,month,date,academic_year,semester,week,weekday,hour,events,subject,student_level,number_of_tutors
"[0, 11466, 11470, 11476]",2015,2,11,2014/2015,2,2,3,12,"['START', 'TRANSFER', 'LEAVE', 'FINISH']",MATH,1,2
"[0, 68]",2015,2,11,2014/2015,2,2,3,13,"['START', 'FINISH']",MATH,1,1
"[0, 1681]",2015,2,11,2014/2015,2,2,3,14,"['START', 'FINISH']",MATH,1,2
"[0, 1035]",2015,2,11,2014/2015,2,2,3,14,"['START', 'FINISH']",STAT,1,2
"[0, 968]",2015,2,11,2014/2015,2,2,3,15,"['START', 'FINISH']",MST,1,3
"[0, 3550]",2015,2,11,2014/2015,2,2,3,15,"['START', 'TRANSFER']",MATH,1,3
"[0, 685]",2015,2,11,2014/2015,2,2,3,15,"['START', 'FINISH']",MATH,2,3
"[0, 203, 409]",2015,2,11,2014/2015,2,2,3,15,"['START', 'TRANSFER', 'FINISH']",ECON,2,3
[0],2015,2,11,2014/2015,2,2,3,16,['START'],MATH,1,3
"[0, 1247]",2015,2,12,2014/2015,2,2,4,10,"['START', 'FINISH']",STAT,1,3
"[0, 647]",2015,2,12,2014/2015,2,2,4,11,"['START', 'FINISH']",MATH,1,3
"[0, 39]",2015,2,12,2014/2015,2,2,4,11,"['START', 'FINISH']",ACM,1,3
"[0, 255]",2015,2,12,2014/2015,2,2,4,11,"['START', 'FINISH']",PHYC,1,3
"[0, 3007]",2015,2,12,2014/2015,2,2,4,11,"['START', 'FINISH']",MATH,1,3
"[0, 2358, 7907]",2015,2,12,2014/2015,2,2,4,11,"['START', 'TRANSFER', 'FINISH']",PHYC,1,3
"[0, 1877]",2015,2,12,2014/2015,2,2,4,11,"['START', 'FINISH']",MST,1,3
"[0, 5]",2015,2,12,2014/2015,2,2,4,12,"['START', 'FINISH']",MST,1,3
"[0, 1977]",2015,2,12,2014/2015,2,2,4,12,"['START', 'FINISH']",MATH,1,3
"[0, 3001, 3197]",2015,2,12,2014/2015,2,2,4,12,"['START', 'TRANSFER', 'FINISH']",MATH,1,3
"[0, 3480, 3708]",2015,2,12,2014/2015,2,2,4,13,"['START', 'TRANSFER', 'FINISH']",MATH,1,1
"[0, 2630]",2015,2,12,2014/2015,2,2,4,14,"['START', 'FINISH']",STAT,1,2
"[0, 1878]",2015,2,12,2014/2015,2,2,4,14,"['START', 'FINISH']",STAT,1,2
"[0, 844, 2256]",2015,2,12,2014/2015,2,2,4,14,"['START', 'TRANSFER', 'FINISH']",MST,2,2
"[0, 6]",2015,2,12,2014/2015,2,2,4,14,"['START', 'FINISH']",ECON,2,2
"[0, 4139]",2015,2,12,2014/2015,2,2,4,15,"['START', 'FINISH']",STAT,2,4
"[0, 4418, 4425]",2015,2,12,2014/2015,2,2,4,15,"['START', 'TRANSFER', 'FINISH']",MST,1,4
"[59, 0]",2015,2,12,2014/2015,2,2,4,15,"['FINISH', 'START']",PHYC,1,4
"[0, 212]",2015,2,13,2014/2015,2,2,5,10,"['START', 'FINISH']",STAT,2,2
"[0, 447]",2015,2,13,2014/2015,2,2,5,10,"['START', 'FINISH']",STAT,1,2
"[0, 1514, 3009]",2015,2,13,2014/2015,2,2,5,11,"['START', 'START', 'FINISH']",MATH,1,2
"[0, 2290]",2015,2,13,2014/2015,2,2,5,11,"['START', 'FINISH']",MATH,1,2
"[0, 1570]",2015,2,13,2014/2015,2,2,5,11,"['START', 'FINISH']",SBUS,1,2
"[0, 4413]",2015,2,13,2014/2015,2,2,5,11,"['START', 'FINISH']",ECON,2,2
"[0, 1728]",2015,2,13,2014/2015,2,2,5,12,"['START', 'FINISH']",PHYC,1,2
"[0, 2099]",2015,2,13,2014/2015,2,2,5,12,"['START', 'FINISH']",MATH,1,2
"[0, 1561]",2015,2,13,2014/2015,2,2,5,12,"['START', 'FINISH']",MATH,1,2
"[0, 1584]",2015,2,16,2014/2015,2,3,1,10,"['START', 'FINISH']",MATH,1,3
"[0, 1072]",2015,2,16,2014/2015,2,3,1,10,"['START', 'FINISH']",MATH,1,3
"[0, 344, 2018]",2015,2,16,2014/2015,2,3,1,10,"['START', 'TRANSFER', 'FINISH']",STAT,1,3
"[0, 2548]",2015,2,16,2014/2015,2,3,1,10,"['START', 'FINISH']",ECON,2,3
"[0, 1948]",2015,2,16,2014/2015,2,3,1,10,"['START', 'FINISH']",MST,1,3
"[1311, 0]",2015,2,16,2014/2015,2,3,1,11,"['FINISH', 'START']",MATH,1,3
"[9379, 9382, 0]",2015,2,16,2014/2015,2,3,1,11,"['TRANSFER', 'FINISH', 'START']",MATH,1,3
"[2257, 8091, 0]",2015,2,16,2014/2015,2,3,1,11,"['TRANSFER', 'FINISH', 'START']",MATH,1,3
"[863, 2773, 0]",2015,2,16,2014/2015,2,3,1,11,"['TRANSFER', 'FINISH', 'START']",SBUS,1,3
"[0, 579]",2015,2,16,2014/2015,2,3,1,11,"['START', 'FINISH']",MATH,1,3
"[0, 2167]",2015,2,16,2014/2015,2,3,1,11,"['START', 'FINISH']",ECON,2,3
"[0, 870]",2015,2,16,2014/2015,2,3,1,12,"['START', 'FINISH']",ECON,2,3
"[0, 2290]",2015,2,16,2014/2015,2,3,1,12,"['START', 'FINISH']",PHYC,1,3
"[0, 132]",2015,2,16,2014/2015,2,3,1,13,"['START', 'FINISH']",ECON,2,1
"[0, 1794, 4143]",2015,2,16,2014/2015,2,3,1,13,"['START', 'TRANSFER', 'FINISH']",MATH,1,1
"[0, 7213, 7219]",2015,2,16,2014/2015,2,3,1,13,"['START', 'TRANSFER', 'FINISH']",MATH,1,1
"[0, 681]",2015,2,16,2014/2015,2,3,1,13,"['START', 'FINISH']",MST,1,1
"[0, 1924]",2015,2,16,2014/2015,2,3,1,14,"['START', 'FINISH']",STAT,2,3
"[0, 268, 317, 2601, 5563, 2602]",2015,2,16,2014/2015,2,3,1,14,"['START', 'START', 'LEAVE', 'START', 'FINISH', 'START']",MATH,1,3
"[0, 1825, 2728, 2741]",2015,2,16,2014/2015,2,3,1,14,"['START', 'TRANSFER', 'TRANSFER', 'FINISH']",STAT,1,3
"[1609, 0]",2015,2,16,2014/2015,2,3,1,14,"['FINISH', 'START']",STAT,1,3
"[0, 66]",2015,2,16,2014/2015,2,3,1,15,"['START', 'FINISH']",MATH,1,4
"[83, 0]",2015,2,16,2014/2015,2,3,1,15,"['FINISH', 'START']",MATH,1,4
"[0, 177]",2015,2,16,2014/2015,2,3,1,16,"['START', 'FINISH']",MATH,1,4
"[0, 708]",2015,2,16,2014/2015,2,3,1,16,"['START', 'FINISH']",MATH,1,4
"[0, 543]",2015,2,16,2014/2015,2,3,1,16,"['START', 'FINISH']",MATH,1,4
"[0, 1085]",2015,2,16,2014/2015,2,3,1,16,"['START', 'FINISH']",MATH,1,4
"[0, 0, 1240]",2015,2,17,2014/2015,2,3,2,10,"['START', 'JOIN', 'FINISH']",MST,1,4
"[0, 0, 1971]",2015,2,17,2014/2015,2,3,2,10,"['START', 'JOIN', 'FINISH']",ECON,2,4
"[0, 0, 1462]",2015,2,17,2014/2015,2,3,2,10,"['START', 'JOIN', 'FINISH']",MATH,1,4
"[0, 0, 4836]",2015,2,17,2014/2015,2,3,2,11,"['START', 'JOIN', 'FINISH']",MATH,1,4
"[0, 0, 2494]",2015,2,17,2014/2015,2,3,2,11,"['START', 'JOIN', 'FINISH']",MATH,1,4
"[0, 0, 4097]",2015,2,17,2014/2015,2,3,2,11,"['START', 'JOIN', 'FINISH']",ACM,1,4
